Name,Address,District,Assignmode,Primaryormiddle,Quality,WGS84lat,WGS84lon,Correspondmiddle,Correspondmiddle_quality,Correspondmiddle_promoterate
北京市第四中学,北京市西城区西黄城根北街甲2号,Xicheng,None,middle,1,39.92983769,116.3718456,None,None,0
北京市第四十一中学,北京市西城区西四北二条58号,Xicheng,None,middle,5,39.92484447,116.3605579,None,None,0
北京市第四十七中学,北京市海淀区苏家坨镇北安河村环谷园路8号,Haidian,None,middle,5,40.06479667,116.1081226,None,None,0
北京市第四十三中学,北京市西城区后孙公园胡同37号,Xicheng,None,middle,5,39.89230146,116.3759613,None,None,0
北京市第四十四中学,北京市西城区三里河南横街1号,Xicheng,None,middle,5,39.91055422,116.3345564,None,None,0
北京市翔宇中学,北京市东城区东直门北大街甲2号,Dongcheng,None,middle,5,39.94783051,116.4302459,None,None,0
北京市育才学校,北京市西城区东经路21号,Xicheng,None,middle,5,39.87679003,116.3868816,None,None,0
北京市育才学校,北京市西城区东经路21号,Xicheng,Nineyears,primary,3,39.87679003,116.3868816,北京市育才学校,5,1
北京市育英中学,北京市海淀区万寿路西街14号,Haidian,None,middle,4,39.90871121,116.2800652,None,None,0
北京市育英学校,北京市海淀区万寿路西街11号,Haidian,None,middle,5,39.91143812,116.2805977,None,None,0
北京市育英学校,北京市海淀区万寿路西街11号,Haidian,Nineyears,primary,3,39.91143812,116.2805977,北京市育英学校,5,1
北京市育鸿学校,北京市海淀区复兴路14号,Haidian,None,middle,4,39.89645068,116.3075489,None,None,0
北京市育鸿学校,北京市海淀区复兴路14号,Haidian,Nineyears,primary,4,39.89645068,116.3075489,北京市育鸿学校,4,1
北京市草场地中学,北京市朝阳区崔各庄乡草场地村77号,Chaoyang,None,middle,5,39.99701525,116.4990431,None,None,0
北京市西城区三义里小学,北京市西城区三义里4号,Xicheng,Random,primary,5,39.88816579,116.3243022,None,None,0
北京市西城区三里河第三小学,北京市西城区三里河三区36号,Xicheng,Random,primary,2,39.90682671,116.3333695,None,None,0
北京市西城区中华路小学,北京市西城区前半壁街48号,Xicheng,Direct,primary,4,39.93670686,116.3549445,北京市第三十五中学,3,0.5
北京市西城区中古友谊小学,北京市西城区三里河一区39号,Xicheng,Random,primary,2,39.91672143,116.3358628,None,None,0
北京市西城区五路通小学,北京市西城区什坊街甲6号,Xicheng,Random,primary,5,39.95939131,116.3775967,None,None,0
北京市西城区什刹海小学,北京市西城区恭俭胡同41号,Xicheng,Random,primary,4,39.92797901,116.3873385,None,None,0
北京市西城区兴华小学,北京市西城区天桥留学路114号,Xicheng,Random,primary,5,39.88568797,116.388425,None,None,0
北京市西城区力学小学,北京市西城区力学胡同47号,Xicheng,Random,primary,4,39.9099092,116.372099,None,None,0
北京市西城区北礼士路第一小学,北京市西城区北礼士路133号,Xicheng,Random,primary,4,39.92871061,116.347018,None,None,0
北京市西城区北长街小学,北京市西城区北长街71号,Xicheng,Random,primary,4,39.91681955,116.3847874,None,None,0
北京市西城区半步桥小学,北京市西城区白纸坊东街27号,Xicheng,Direct,primary,4,39.87720926,116.3632454,北京市第十五中学,5,0.5
北京市西城区华嘉小学,北京市西城区西廊下胡同34号,Xicheng,Random,primary,4,39.92675073,116.3555349,None,None,0
北京市西城区厂桥小学,北京市西城区地安门西大街167号,Xicheng,Random,primary,4,39.93171885,116.371637,None,None,0
北京市西城区四根柏小学,北京市西城区赵登禹路58号,Xicheng,Direct,primary,4,39.93460839,116.3623593,北京市第三十五中学,3,0.5
北京市西城区复兴门外第一小学,北京市西城区复兴门外大街地藏庵23号,Xicheng,Random,primary,3,39.909220500000004,116.3422392,None,None,0
北京市西城区奋斗小学,北京市西城区闹市口大街月台胡同15号,Xicheng,Random,primary,2,39.90036267,116.3559953,None,None,0
北京市西城区宏庙小学,北京市西城区西单北大街宏庙胡同13号,Xicheng,Direct,primary,2,39.91400673,116.3644786,北京市第八中学,2,0.5
北京市西城区实验小学,北京市西城区南菜园35号,Xicheng,Random,primary,5,39.8725219,116.3474843,None,None,0
北京市西城区展览路第一小学,北京市西城区百万庄中里7号,Xicheng,Random,primary,3,39.92781719,116.3328152,None,None,0
北京市西城区师范学校附属小学,北京市西城区六铺炕北小街3号,Xicheng,Random,primary,2,39.95389282,116.3847033,None,None,0
北京市西城区康乐里小学,北京市西城区储库营康乐里2号,Xicheng,Random,primary,3,39.89340942,116.3626142,None,None,0
北京市西城区新世纪实验小学,北京市西城区南纬路2号,Xicheng,Random,primary,5,39.87962304,116.3888446,None,None,0
北京市西城区新街口东街小学,北京市西城区新街口东街5号,Xicheng,Direct,primary,4,39.94126961,116.3721614,北京市第十三中学分校,3,0.5
北京市西城区柳荫街小学,北京市西城区西煤厂胡同7号,Xicheng,Random,primary,4,39.93790902,116.3794669,None,None,0
北京市西城区椿树馆小学,北京市西城区广安门外南街43号,Xicheng,Direct,primary,5,39.88537224,116.3400492,北京市第八中学,2,0.5
北京市西城区炭儿胡同小学,北京市西城区炭儿胡同11号,Xicheng,Random,primary,5,39.89443935,116.3844003,None,None,0
北京市西城区登莱小学,北京市西城区登莱胡同29号,Xicheng,Random,primary,5,39.88652961,116.3484604,None,None,0
北京市西城区白纸坊小学,北京市西城区白广路乙27号,Xicheng,Direct,primary,5,39.88016501,116.3514083,北京市第十五中学,5,0.5
北京市西城区福州馆小学,北京市西城区福州馆前街3号,Xicheng,Random,primary,5,39.88481637,116.3763878,None,None,0
北京市西城区红莲小学,北京市西城区红莲中里14号,Xicheng,Random,primary,5,39.88092843,116.3281744,None,None,0
北京市西城区育民小学,北京市西城区真武庙头条8号,Xicheng,Random,primary,1,39.90493721,116.3436676,None,None,0
北京市西城区育翔小学,北京市西城区马甸南村乙14号,Xicheng,Random,primary,2,39.96413774,116.371612,None,None,0
