unitprice,name,age,WGS84lat,WGS84lon,lift
82386.14286,北洼西里,1996,39.93738595,116.2915984,TRUE
136400.5,花梗胡同1号院,1985,39.93748598,116.4069766,FALSE
104894,西直门外大街102号,1989,39.9375254,116.3416843,FALSE
120307,航空胡同22号院,1985,39.9376732,116.3688404,FALSE
89332,首开铂郡8号院,2010,39.93768949,116.4448461,TRUE
107508.8,海晟国际公寓,2007,39.93777013,116.4358088,TRUE
135184.5,菊儿胡同,1991,39.93777353,116.399633,FALSE
85384.66667,世纪新景,2004,39.93780484,116.2972411,TRUE
87972,豪柏国际公寓,2004,39.93780499,116.3051601,TRUE
107921,后半壁街8号,1985,39.93780644,116.3559797,FALSE
86275,三虎桥,1985,39.93784268,116.3104081,FALSE
131713.75,香饵胡同,2003,39.9378448,116.4070569,FALSE
52712,豪柏大厦,2005,39.93799212,116.3074359,TRUE
67278,三里屯北,1980,39.9380859,116.4471675,FALSE
79048.4,东方银座,2003,39.93816766,116.4289949,TRUE
49981,成铭大厦,2000,39.93816873,116.3507936,TRUE
98935.5,三不老胡同,1957,39.93826832,116.3718253,FALSE
113610,泛海国际樱海园,2008,39.93832129,116.4905958,TRUE
84971,北洼东里,1999,39.93833529,116.2996237,TRUE
115223,玫瑰御园,2005,39.93838956,116.2871594,TRUE
133892,泛海国际澜海园,2009,39.93842254,116.4903542,TRUE
113401.5,北新仓胡同,2002,39.93857888,116.4222735,FALSE
99823.75,十字坡东里,1986,39.93867193,116.4339186,FALSE
131310.4286,土儿胡同,2002,39.93876243,116.4059207,FALSE
97990.125,春秀路,1992,39.93889576,116.4383945,TRUE
96652,德宝新园,1992,39.9390838,116.3402446,FALSE
115000,西直门内大街,1983,39.93916349,116.3578864,TRUE
66954,紫竹院路62号院,2001,39.93925578,116.30631,TRUE
51641.5,华龙大厦,2006,39.93932087,116.4336216,TRUE
133582.5,交道口东大街,2002,39.93951415,116.4056158,TRUE
121913,苇坑胡同71号,1984,39.93952984,116.3691983,FALSE
111486.75,东直门内大街,2003,39.93956577,116.4193791,TRUE
83171.83333,车道沟南里,1990,39.9395939,116.2959833,TRUE
96496.33333,新兴东巷,1985,39.93976887,116.341748,FALSE
102023,东公街64号院,1985,39.93985723,116.400916,FALSE
78869,东直门外大街,1990,39.93992509,116.4438282,TRUE
103893,玉桃园二区,1997,39.93996171,116.3529581,FALSE
83820.33333,望塔园,2000,39.94002037,116.2830866,TRUE
106927.3333,北新桥头条,1984,39.94042943,116.4141429,FALSE
98835.66667,新兴中巷,1976,39.94045996,116.3421447,FALSE
101251.3333,玉桃园一区,1994,39.94057455,116.352163,FALSE
64258,丽都职工宿舍,1988,39.94071786,116.414227,TRUE
99173,马相西巷,1983,39.94074619,116.3554197,FALSE
128238,邱家胡同,1984,39.94083971,116.3713653,FALSE
107156,如意里,1989,39.94087247,116.358528,FALSE
76223,金雅园,2002,39.94095699,116.2698575,TRUE
114318.6667,东新开胡同,1989,39.94097766,116.3629774,TRUE
127643,新街口东街,1988,39.9409911,116.368769,FALSE
79965,昌运宫9号院,1984,39.94114628,116.300609,FALSE
100000,草园胡同,1993,39.94122061,116.4153942,FALSE
83644,察慈小区,1990,39.94125049,116.4337618,TRUE
80359.75,昌运宫,1994,39.94127824,116.3006932,TRUE
82386,望河园,2000,39.94138423,116.2866203,TRUE
53652,巨山馨苑,2005,39.94150921,116.2205569,FALSE
80831.25,龙阁公寓,2004,39.94168676,116.4670692,TRUE
109702,民安小区东扬威街,2002,39.94169417,116.4234649,TRUE
103674.5217,民安小区东直门内北小街,2003,39.94169417,116.4234649,TRUE
109211.9167,民安小区东直门北中街,1985,39.94169417,116.4234649,FALSE
104457,民安小区东羊管胡同,2002,39.94169417,116.4234649,TRUE
116693.25,民安小区民安街,2002,39.94169417,116.4234649,FALSE
129259.2,交道口北二条35号院,1988,39.94169576,116.4053056,FALSE
120002.5,文津世家,2004,39.94173535,116.4077321,TRUE
77897,紫竹院98号院,1993,39.94176846,116.2992516,FALSE
127375.5,光泽胡同,1984,39.94177261,116.3680296,FALSE
102578,前桃园1号,1984,39.94180054,116.3547201,FALSE
108598,北新桥三条,1985,39.9418397,116.4145131,FALSE
113939,紫竹院甲3号院,1998,39.94191133,116.3071139,FALSE
133327,龙岳洲,2003,39.94192004,116.3843982,FALSE
84010,胡家园26号院,1996,39.94194856,116.43612,FALSE
77062.33333,金隅凤麟洲,2007,39.94202518,116.5065155,TRUE
97585.33333,玉桃园三区,1997,39.94227308,116.3570379,FALSE
129846,辛勤胡同,1984,39.94227772,116.3722445,FALSE
114781.3333,交道口北三条,1990,39.94228539,116.4078016,FALSE
120829,长河湾,2005,39.94230915,116.3438268,TRUE
77218,东直门外小街10号院,1986,39.94247363,116.4386789,FALSE
95949,后桃园胡同10号,1958,39.94259385,116.3548625,FALSE
76829.4,东直门外小街8号院,1995,39.94263549,116.4393906,FALSE
117669.5,鼓楼西大街,1989,39.94265118,116.3821247,FALSE
124908,前马厂胡同,1983,39.94267981,116.3841735,FALSE
